Country name,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Population 2020,Population 2019,"COVID-19 deaths per 100,000 population in 2020",Median age,Island,Index of exposure to COVID-19  infections in other countries as of March 31,Log of average distance to SARS countries,WHO Western Pacific Region,Female head of government,Index of institutional trust,Gini coefficient of income,"All-cause death count, 2017","All-cause death count, 2018","All-cause death count, 2019","All-cause death count, 2020","Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average"
Turkmenistan,Commonwealth of Independent States,5.066,9.629,0.983,62.409,0.877,0.273,0.888,5942089,5942089,,,0,1.462743998,8.735208511,0,0,0.510878921,26.5,,,,,
Gambia,Sub-Saharan Africa,5.051,7.686,0.69,55.16,0.697,0.424,0.746,2416664,2347706,5.131000042,17.5,0,1.044099331,9.392737389,0,0,0.488902271,35.92,,,,,
Benin,Sub-Saharan Africa,5.045,8.087,0.489,54.713,0.757,-0.034,0.661,12123198,11801151,0.362899989,18.79999924,0,0.970544159,9.319047928,0,0,0.398125947,47.76,,,,,
Laos,Southeast Asia,5.03,8.947,0.728,58.968,0.91,0.123,0.658,7275556,7169455,,24.39999962,0,0.77276063,8.183916092,1,0,0.707731068,36.39,,,,,
Bangladesh,South Asia,5.025,8.454,0.693,64.8,0.877,-0.041,0.682,164689383,163046161,4.589900017,27.5,0,0.823931277,8.348937988,0,1,0.576997697,43.9725,,,,,
Guinea,Sub-Saharan Africa,4.984,7.838,0.639,55.008,0.697,0.095,0.766,13132792,12771246,0.61680001,19,0,0.97001636,9.408558846,0,0,0.349229783,33.73,,,,,
South Africa,Sub-Saharan Africa,4.956,9.403,0.86,56.904,0.749,-0.067,0.86,59308690,58558270,48.00139999,27.29999924,0,0.606514931,9.297284126,0,0,0.192737773,65.426,,,,,
Turkey,Middle East and North Africa,4.948,10.24,0.822,67.199,0.576,-0.139,0.776,84339067,83429615,24.75839996,31.60000038,0,2.066906452,8.951714516,0,0,0.295031607,40.55,,,,,
Pakistan,South Asia,4.934,8.458,0.651,58.709,0.726,0.098,0.787,220892331,216565318,4.606800079,23.5,0,1.048231125,8.576827049,0,0,0.27687782,33.45,,,,,
Morocco,Middle East and North Africa,4.918,8.903,0.56,66.208,0.774,-0.236,0.801,36910558,36471769,20.01600075,29.60000038,0,2.336052895,9.226011276,0,0,0.397255003,39.55,,,,,
Venezuela,Latin America and Caribbean,4.892,9.073,0.861,66.7,0.615,-0.169,0.827,28435943,28515829,3.615100145,29,0,0.890544057,9.564495087,0,0,0.120158873,37.8,,,,,
Georgia,Commonwealth of Independent States,4.891,9.585,0.671,64.3,0.783,-0.238,0.655,3989175,3720382,62.79489899,38.70000076,0,1.705542564,8.850701332,0,1,0.198270783,37.94,,,,,
Algeria,Middle East and North Africa,4.887,9.342,0.802,66.005,0.48,-0.067,0.752,43851043,43053054,6.284899712,29.10000038,0,2.932688713,9.159029007,0,0,0.414874882,27.62,,,,,
Ukraine,Commonwealth of Independent States,4.875,9.436,0.888,64.902,0.724,-0.011,0.924,43733759,44385155,44.08720016,41.40000153,0,2.20601964,8.928791046,0,0,0.059068583,25,574123,587665,581114,616835,81.40746307
Iraq,Middle East and North Africa,4.854,9.24,0.746,60.583,0.63,-0.053,0.875,40222503,39309783,31.8553009,20,0,1.652010202,8.882006645,0,0,0.132665575,33.12,,,,,
Gabon,Sub-Saharan Africa,4.852,9.603,0.776,59.962,0.731,-0.2,0.84,2225728,2172579,2.875499964,23.10000038,0,0.864660382,9.30491066,0,1,0.103890531,38.02,,,,,
Burkina Faso,Sub-Saharan Africa,4.834,7.678,0.672,54.151,0.695,-0.009,0.748,20903278,20321378,0.406599998,17.60000038,0,1.092144012,9.3178339,0,0,0.35867393,35.3,,,,,
Cambodia,Southeast Asia,4.83,8.36,0.765,62,0.959,0.034,0.843,16718971,16486542,,25.60000038,0,0.714238167,8.25562191,1,0,0.498104215,36,,,,,
Mozambique,Sub-Saharan Africa,4.794,7.158,0.744,54.706,0.882,0.061,0.684,31255435,30366036,0.531099975,17.70000076,0,0.598770618,9.272957802,0,0,0.472666234,49.41666667,,,,,
Nigeria,Sub-Saharan Africa,4.759,8.533,0.74,50.102,0.737,0.037,0.878,206139587,200963599,0.62529999,18.10000038,0,1.02329421,9.279177666,0,0,0.1999394,44.894,,,,,
Mali,Sub-Saharan Africa,4.723,7.744,0.724,51.969,0.697,-0.036,0.827,20250834,19658031,1.328299999,16.39999962,0,1.070372581,9.351827621,0,0,0.274314076,33.04,,,,,
Iran,Middle East and North Africa,4.721,9.584,0.71,66.3,0.608,0.218,0.714,83992953,82913906,65.74720001,32.40000153,0,1.706698775,8.809122086,0,0,0.367223054,39.97,,,,,
