Country name,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Population 2020,Population 2019,"COVID-19 deaths per 100,000 population in 2020",Median age,Island,Index of exposure to COVID-19  infections in other countries as of March 31,Log of average distance to SARS countries,WHO Western Pacific Region,Female head of government,Index of institutional trust,Gini coefficient of income,"All-cause death count, 2017","All-cause death count, 2018","All-cause death count, 2019","All-cause death count, 2020","Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average"
Jamaica,Latin America and Caribbean,6.309,9.186,0.877,67.5,0.89,-0.137,0.884,2961161,2948279,10.19869995,31.39999962,1,1.0449301,9.502088547,0,0,0.133246899,37.48,,,,,
Lithuania,Central and Eastern Europe,6.255,10.499,0.935,67.906,0.773,-0.203,0.826,2722291,2786844,53.55780029,43.5,0,2.538996935,8.944458961,0,1,0.189153418,36.9,39990,39452,38184,43824,167.5519714
Cyprus,Western Europe,6.223,10.576,0.802,73.898,0.763,-0.015,0.844,875899,1198575,13.58600044,37.29999924,1,1.907790661,8.967679024,0,0,0.174157128,29.1,6009,5798,6218,6636,60.51331711
Estonia,Central and Eastern Europe,6.189,10.481,0.941,68.8,0.909,-0.106,0.527,1326539,1326590,17.26300049,42.70000076,0,2.365309238,8.930441856,0,1,0.270276636,30.6,15476,15684,15332,16206,53.42122269
Panama,Latin America and Caribbean,6.18,10.35,0.896,69.652,0.872,-0.166,0.856,4314768,4246439,93.21469879,29.70000076,0,0.910283864,9.56774807,0,0,0.181664005,49.8,19482,19720,20332,23876,94.17676544
Uzbekistan,Commonwealth of Independent States,6.179,8.836,0.918,65.255,0.97,0.311,0.515,33469199,33580650,1.834499955,28.20000076,0,1.140721917,8.620494843,0,0,0.434860617,39.7,160723,154913,154570,175637,56.38095474
Chile,Latin America and Caribbean,6.172,10.071,0.882,70,0.742,-0.044,0.83,19116209,18952038,86.87919617,35.40000153,0,0.562487423,9.722240448,0,0,0.096694358,45.92,106045,106458,109079,127387,106.0884171
Poland,Central and Eastern Europe,6.166,10.382,0.898,69.702,0.841,-0.165,0.735,37846605,37970874,75.44670105,41.79999924,0,3.198971748,8.978473663,0,0,0.3037453,27.8,402533,411312,407624,485441,206.5082092
Kazakhstan,Commonwealth of Independent States,6.152,10.155,0.952,65.2,0.853,-0.069,0.733,18776707,18513930,14.70440102,30.60000038,0,1.137136698,8.621412277,0,0,0.352169037,27.45,74381,130515,133489,162613,267.1877136
Romania,Central and Eastern Europe,6.14,10.284,0.832,67.355,0.845,-0.219,0.938,19237682,19356544,81.95890045,43,0,2.516937494,8.980768204,0,0,0.100040212,35.1,,,,,
Kuwait,Middle East and North Africa,6.106,10.817,0.843,66.9,0.867,-0.104,0.736,4270563,4207083,21.87070084,33.70000076,0,1.49720645,8.864709854,0,0,0.388265908,36.02,,,,,
Serbia,Central and Eastern Europe,6.078,9.787,0.873,68.6,0.778,0.002,0.835,6804596,6944975,47.18869781,41.20000076,0,3.13441062,9.014948845,0,1,0.220901221,37.8,103722,101655,102131,114954,181.1159973
El Salvador,Latin America and Caribbean,6.061,9.054,0.762,66.402,0.888,-0.11,0.688,6486201,6453553,20.45879936,27.60000038,0,0.863349795,9.508163452,0,0,0.238816589,40.5,,,,,
Mauritius,Sub-Saharan Africa,6.049,10.008,0.905,66.701,0.867,-0.054,0.789,1271767,1265711,0.786300004,37.40000153,1,0.624420941,9.083909035,0,0,0.410802662,38.47,10140,10787,11174,11060,28.34838295
Latvia,Central and Eastern Europe,6.032,10.315,0.927,67.1,0.715,-0.162,0.8,1886202,1912789,33.66550064,43.90000153,0,2.490190029,8.942621231,0,0,0.096160524,35.6,28659,28743,27632,28989,33.92132187
Colombia,Latin America and Caribbean,6.012,9.557,0.847,68.001,0.837,-0.135,0.841,50882884,50339443,84.92639923,32.20000076,0,0.813903451,9.606492996,0,0,0.113160901,52,226799,236228,243648,301480,130.2512512
Hungary,Central and Eastern Europe,5.992,10.358,0.943,68,0.755,-0.186,0.876,9660350,9769949,98.72309875,43.40000153,0,3.554931879,9.011205673,0,0,0.252598107,28.7,131293,130624,129266,142921,128.9394836
Thailand,Southeast Asia,5.985,9.805,0.888,67.401,0.884,0.287,0.895,69799978,69625582,0.090300001,40.09999847,0,0.751221061,8.270149231,0,0,0.353829116,35.315,468911,473541,506211,501438,26.60967445
Nicaragua,Latin America and Caribbean,5.972,8.62,0.864,67.657,0.836,0.02,0.664,6624554,6545502,2.490700006,27.29999924,0,0.860422313,9.527918816,0,0,0.280302554,46.515,,,,,
Japan,East Asia,5.94,10.611,0.884,75.1,0.796,-0.258,0.638,126476458,126264931,2.602900028,48.20000076,1,0.862789035,8.390191078,1,0,0.317466319,33.9,1340567,1362470,1387775,1376426,10.14633942
Argentina,Latin America and Caribbean,5.929,9.962,0.898,69,0.828,-0.182,0.834,45195777,44938712,95.68370056,31.89999962,0,0.549366355,9.717082024,0,0,0.091058999,39.6,,,,,
Portugal,Western Europe,5.929,10.421,0.879,72.6,0.892,-0.244,0.887,10196707,10269417,67.72769928,46.20000076,0,3.223598719,9.207305908,0,0,0.248361751,32.1,109283,112692,111474,125500,140.2350159
Honduras,Latin America and Caribbean,5.919,8.648,0.812,67.3,0.857,0.081,0.809,9904608,9588000,31.60150146,24.89999962,0,0.887269974,9.510899544,0,0,0.208718956,48.1,,,,,
Croatia,Central and Eastern Europe,5.882,10.217,0.924,70.799,0.754,-0.118,0.939,4105268,4067500,95.48709869,44,0,4.057454109,9.037494659,0,0,0.131280273,29.7,53269,52562,51611,57922,133.1576233
Philippines,Southeast Asia,5.88,9.076,0.83,62,0.917,-0.097,0.742,109581085,108116615,8.435800552,25.20000076,1,0.739615381,8.22601223,1,0,0.519950509,42.23,,,,,
South Korea,East Asia,5.845,10.651,0.799,73.9,0.672,-0.083,0.727,51269183,51709098,1.788599968,43.40000153,0,1.606505871,8.228276253,1,0,0.111827433,35.5,284548,298030,294080,308318,31.266119
Peru,Latin America and Caribbean,5.84,9.458,0.832,68.25,0.822,-0.154,0.891,32971846,32510453,114.2792969,29.10000038,0,0.636266768,9.689529419,0,0,0.095920503,43.9,98704,112516,114560,214503,323.475708
Bosnia and Herzegovina,Central and Eastern Europe,5.813,9.59,0.87,68.098,0.706,0.113,0.931,3280815,3301000,123.4449005,42.5,0,3.508873701,9.032291412,0,0,0.06426008,33.03,,,,,
Moldova,Commonwealth of Independent States,5.766,9.454,0.857,65.699,0.822,-0.079,0.918,4033963,2657637,73.99669647,37.59999847,0,2.348018169,8.952219009,0,0,0.103947103,25.9,36768,37176,36794,40382,103.6921539
Ecuador,Latin America and Caribbean,5.764,9.313,0.821,68.8,0.842,-0.124,0.843,17643060,17373662,79.54399872,28.10000038,0,0.78918469,9.633696556,0,0,0.205287486,45.4,70049,71769,73479,115842,251.7445068
Kyrgyzstan,Commonwealth of Independent States,5.744,8.538,0.893,64.401,0.935,0.119,0.908,6524191,6456900,20.76889992,26.29999924,0,1.080177069,8.56589222,0,0,0.18645817,27.34,33166,32989,33295,39977,105.1837616
